n_bits,threads,avg_cbs_ms,avg_lut_ms,avg_total_ms,iters
16,8,46.396431,3.025829,49.422260,160
16,8,43.934198,2.870122,46.804320,192
16,8,45.567263,2.937684,48.504947,224
16,8,44.293248,2.838553,47.131801,256
16,8,45.558887,2.918908,48.477796,288
16,8,47.387896,3.001583,50.389479,320
20,1,214.160675,120.022276,334.182951,1
20,1,245.987848,124.466958,370.454806,2
20,1,199.247348,105.308776,304.556124,5
20,1,195.115647,105.282169,300.397816,10
20,1,200.737692,104.348628,305.086320,15
20,1,202.890975,104.925821,307.816797,20
20,1,195.553966,105.417326,300.971293,25
20,1,193.328149,103.138503,296.466651,30
20,1,194.135249,102.628599,296.763848,35
20,1,196.166440,103.434363,299.600803,40
20,1,196.575993,102.820068,299.396061,45
20,1,194.686791,103.542282,298.229073,50
20,2,155.291235,76.367563,231.658798,1
20,2,154.823716,68.643160,223.466876,2
20,2,118.749306,59.774861,178.524166,4
20,2,122.057840,59.093350,181.151190,8
20,2,119.557288,58.660643,178.217931,16
20,2,120.810378,60.351372,181.161751,24
20,2,120.702991,60.215369,180.918360,32
20,2,122.352982,60.856421,183.209403,40
20,2,132.992152,64.509951,197.502103,48
20,2,122.995905,62.181113,185.177018,56
20,2,121.899671,61.420068,183.319738,64
20,2,121.070576,60.782233,181.852809,72
20,2,121.086582,60.841040,181.927622,80
20,4,95.815077,43.118266,138.933343,1
20,4,103.182353,46.253841,149.436194,2
20,4,96.611986,44.609924,141.221909,4
20,4,86.772141,40.413888,127.186028,10
20,4,84.065157,40.809444,124.874600,20
20,4,82.861984,40.329192,123.191176,30
20,4,82.554254,40.513742,123.067996,40
20,4,82.260366,40.112835,122.373201,50
20,4,81.720486,40.415547,122.136033,60
20,4,83.262662,41.153135,124.415797,70
20,4,82.449557,41.463744,123.913301,80
20,4,82.970662,40.478331,123.448993,90
20,4,82.860357,40.291996,123.152353,100
20,8,50.517694,25.995220,76.512914,1
20,8,60.115080,27.776709,87.891789,2
20,8,61.623218,26.596772,88.219990,4
20,8,49.041318,24.667805,73.709123,8
20,8,47.695565,24.209605,71.905170,15
20,8,50.092374,25.040557,75.132931,30
20,8,52.592022,25.623009,78.215031,45
20,8,50.443948,24.518070,74.962018,60
20,8,48.114607,23.863702,71.978309,75
20,8,47.231356,23.934083,71.165439,90
20,8,47.168652,24.169515,71.338166,105
20,8,47.365743,24.072891,71.438634,120
20,8,46.990454,23.871857,70.862311,135
20,8,47.310025,23.969822,71.279847,150
24,1,222.789204,2064.290678,2287.079882,1
24,1,240.862456,1908.333666,2149.196122,2
24,1,266.113912,1940.098802,2206.212713,2
